Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__c,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
1177242-0,800Do000000xCjYIAU,Manual,Hey Sparky,7037157,2022-02-01,2024-01-31,006Do000002QbL2IAK,2024 - Hey Sparky - Renewal,Discovery
1177425-0,800Do000000xCjZIAU,Auto,Jay's Excavating,7037158,2022-12-01,2024-11-30,006Do000002QbJhIAK,2024 - Jay's Excavating - Renewal,Discovery
117779-0,800Do000000xCjaIAE,Auto,Hewson Landscape Inc.,7037159,2023-02-01,2024-01-31,0063i00000JpUb5AAF,2023-Hewson Landscape Inc.- BB Renewal,Closed Won
117927-0,800Do000000xCjbIAE,Manual,Contractors' Line & Grade South LLC,7037160,2021-03-01,2023-02-28,0063i00000JpVYvAAN,2023-Contractors' Line & Grade South LLC- BB Renewal,Closed Lost
1187068-0,800Do000000xCjcIAE,Manual,Flooring Panda,7037161,2021-07-01,2023-06-30,0063i00000JpVliAAF,2023-Flooring Panda- BB Renewal,Solution/Value
118710-0,800Do000000xCjdIAE,Manual,"George Nice & Sons, Inc.",7037162,2021-08-01,2023-07-31,006Do000002QbVXIA0,"2023 - George Nice & Sons, Inc. - Renewal",Discovery
118843-0,800Do000000xCjeIAE,Manual,Ken Cook's Plumbing & Heating Inc.,7037163,2021-09-01,2023-08-31,006Do000002QbVcIAK,2023 - Ken Cook's Plumbing & Heating Inc. - Renewal,Discovery
1190250-0,800Do000000xCjfIAE,Manual,Deep Clean,7037164,2022-08-01,2023-07-31,006Do000002QbR7IAK,2023 - Deep Clean - Renewal,Discovery
1195889-0,800Do000000xCjgIAE,Auto,CalStar Services,7037165,2023-01-01,2024-12-31,006Do000002QbVhIAK,2025 - CalStar Services - Renewal,Discovery
1196738-0,800Do000000xCjhIAE,Manual,JR's Demolition & Excavating Inc.,7037166,2022-01-01,2023-12-31,006Do000002QbBVIA0,2024 - JR's Demolition & Excavating Inc. - Renewal,Discovery
1197210-0,800Do000000xCjiIAE,Manual,"Schwartz Plumbing, Inc.",7037167,2021-09-01,2023-08-31,006Do000002QbNKIA0,"2023 - Schwartz Plumbing, Inc. - Renewal",Discovery
1197675-0,800Do000000xCjjIAE,Manual,Paul & Sons General Contracting,7037168,2021-06-01,2023-05-31,0063i00000JpUlfAAF,2023-Paul & Sons General Contracting- BB Renewal,Solution/Value
1200595-1,800Do000000xCjkIAE,Manual,El Verde Terrazzo Inc.,7037169,2021-05-01,2023-04-30,0063i00000JpVfKAAV,2023-El Verde Terrazzo Inc.- BB Renewal,Solution/Value
1201522-0,800Do000000xCjlIAE,Manual,Advanced Caulking LLC,7037170,2021-09-01,2023-08-31,006Do000002QbAnIAK,2023 - Advanced Caulking LLC - Renewal,Discovery
1203255-0,800Do000000xCjmIAE,Manual,"Data and Voice Specialists, Inc.",7037171,2021-09-01,2023-08-31,006Do000002QbKpIAK,"2023 - Data and Voice Specialists, Inc. - Renewal",Discovery
1204270-0,800Do000000xCjnIAE,Manual,Tony's Custom Woodworks,7037172,2021-07-01,2023-06-30,0063i00000JpUmsAAF,2023-Tony's Custom Woodworks- BB Renewal,Solution/Value
1204681-0,800Do000000xCjoIAE,Manual,Cosello Construction Inc.,7037173,2021-09-01,2023-08-31,006Do000002QayGIAS,2023 - Cosello Construction Inc. - Renewal,Discovery
120740-0,800Do000000xCjpIAE,Manual,Alert Traffic Lines LLC,7037174,2022-03-01,2023-02-28,0063i00000JpUbFAAV,2023-Alert Traffic Lines LLC- BB Renewal,Closed Lost
12119-0,800Do000000xCjqIAE,Manual,Alex's Tile & Stone,7037175,2022-08-01,2024-07-31,006Do000002Qb6tIAC,2024 - Alex's Tile & Stone - Renewal,Discovery
1215800-0,800Do000000xCjrIAE,Auto,Perfect City Gates Corp.,7037176,2023-01-01,2023-12-31,006Do000002Qb24IAC,2024 - Perfect City Gates Corp. - Renewal,Discovery
1217268-0,800Do000000xCjsIAE,Manual,K-Zor Electric Inc.,7037177,2021-02-01,2023-01-31,0063i00000JpUwmAAF,2023-K-Zor Electric Inc.- BB Renewal,Closed Won
121851-0,800Do000000xCjtIAE,Manual,"AK Electric, Inc.",7037178,2022-04-01,2024-03-31,006Do000002Qb2mIAC,"2024 - AK Electric, Inc. - Renewal",Discovery
8934936-0,800Do000000xClQIAU,Manual,Secure Communications Group,7037309,2022-10-01,2023-09-30,006Do000002QaldIAC,2023 - Secure Communications Group - Renewal,Discovery
8938833-0,800Do000000xClRIAU,Manual,CES Commercial Roofing,7037310,2022-07-01,2023-06-30,0063i00000JpUcTAAV,2023-CES Commercial Roofing- BB Renewal,Solution/Value
8938976-0,800Do000000xClSIAU,Manual,Yeimy Cleaning Service LLC,7037311,2022-09-01,2023-08-31,006Do000002QadEIAS,2023 - Yeimy Cleaning Service LLC - Renewal,Discovery
8938997-0,800Do000000xCm2IAE,Manual,In the Name of Clean LLC,7037312,2022-06-01,2024-05-31,006Do000002QbknIAC,2024 - In the Name of Clean LLC - Renewal,Discovery
8939141-0,800Do000000xCm3IAE,Manual,AIR4U LLC,7037313,2022-08-01,2024-07-31,006Do000002QbB7IAK,2024 - AIR4U LLC - Renewal,Discovery
8939962-0,800Do000000xCm4IAE,Manual,Schooley Mitchell,7037314,2022-09-01,2023-08-31,006Do000002QbXqIAK,2023 - Schooley Mitchell - Renewal,Discovery
8939964-0,800Do000000xCm5IAE,Manual,Union City Services Corp.,7037315,2022-06-01,2024-05-31,006Do000002QbouIAC,2024 - Union City Services Corp. - Renewal,Discovery
8940060-0,800Do000000xCm6IAE,Manual,Cook Development Group,7037316,2022-10-01,2023-09-30,006Do000002QbVyIAK,2023 - Cook Development Group - Renewal,Discovery
8940565-0,800Do000000xCm7IAE,Auto,Krazy Cleaners LLC,7037317,2022-11-01,2024-10-31,006Do000002QbrxIAC,2024 - Krazy Cleaners LLC - Renewal,Discovery
8941845-0,800Do000000xCm8IAE,Manual,King Khan Corp.,7037318,2022-07-01,2023-06-30,0063i00000JpUh0AAF,2023-King Khan Corp.- BB Renewal,Solution/Value
8942108-0,800Do000000xCm9IAE,Manual,"CR9 Waterproofing & Paint, Inc.",7037319,2022-07-01,2023-06-30,0063i00000JpUe5AAF,"2023-CR9 Waterproofing & Paint, Inc.- BB Renewal",Solution/Value
8942941-0,800Do000000xCmAIAU,Auto,National Stucconstruction LLC,7037320,2022-12-01,2023-11-30,006Do000002QbjUIAS,2023 - National Stucconstruction LLC - Renewal,Discovery
8942971-0,800Do000000xCmBIAU,Manual,JP AIR SYSTEMS,7037321,2022-08-01,2024-07-31,006Do000002QbAiIAK,2024 - JP AIR SYSTEMS - Renewal,Discovery
8943164-0,800Do000000xCmCIAU,Manual,Urizar Painting,7037322,2022-08-01,2023-07-31,006Do000002QbjZIAS,2023 - Urizar Painting - Renewal,Discovery
8943181-0,800Do000000xCmDIAU,Manual,Tampa Rod Gods LLC,7037323,2022-08-01,2024-07-31,006Do000002QbiSIAS,2024 - Tampa Rod Gods LLC - Renewal,Discovery
8943533-0,800Do000000xCmEIAU,Manual,Rental N Depot LLC,7037324,2022-07-01,2023-06-30,0063i00000JpUYwAAN,2023-Rental N Depot LLC- BB Renewal,Solution/Value
8943539-0,800Do000000xCmFIAU,Manual,American IMS Fire Protection,7037325,2022-07-01,2024-06-30,006Do000002QbATIA0,2024 - American IMS Fire Protection - Renewal,Discovery
8943543-0,800Do000000xCmGIAU,Manual,One Team One Dream Cleaning,7037326,2022-07-01,2023-06-30,0063i00000JpUbTAAV,2023-One Team One Dream Cleaning- BB Renewal,Solution/Value
8943660-0,800Do000000xCmHIAU,Manual,Techno Supply,7037327,2022-07-01,2024-06-30,006Do000002QbFOIA0,2024 - Techno Supply - Renewal,Discovery
8943709-0,800Do000000xCmIIAU,Manual,Superstition Frame & Drywall LLC,7037328,2022-07-01,2023-06-30,0063i00000JpUj8AAF,2023-Superstition Frame & Drywall LLC- BB Renewal,Solution/Value
8943791-0,800Do000000xCmJIAU,Auto,Onyx Concrete Contractors,7037329,2022-12-01,2023-11-30,006Do000002QbjeIAC,2023 - Onyx Concrete Contractors - Renewal,Discovery
8943883-0,800Do000000xCmKIAU,Manual,Apex Electric,7037330,2022-08-01,2024-07-31,006Do000002QbIBIA0,2024 - Apex Electric - Renewal,Discovery
8943907-0,800Do000000xCmLIAU,Manual,All In 1 C.C. And More L.L.C,7037331,2022-07-01,2024-06-30,006Do000002QbaKIAS,2024 - All In 1 C.C. And More L.L.C - Renewal,Discovery
8944184-0,800Do000000xCmMIAU,Manual,"J&R Roofing, LLC",7037332,2022-07-01,2023-06-30,006Do000002Qbc6IAC,"2023 - J&R Roofing, LLC - Renewal",Proposal
8944907-0,800Do000000xCmNIAU,Auto,Weber Enterprise,7037333,2022-12-01,2023-11-30,006Do000002QbYAIA0,2023 - Weber Enterprise - Renewal,Discovery
8945277-0,800Do000000xCmOIAU,Manual,Make It Shine Janitorial,7037334,2022-07-01,2023-06-30,0063i00000JpUgQAAV,2023-Make It Shine Janitorial- BB Renewal,Solution/Value
8945521-0,800Do000000xCmPIAU,Manual,Flooring+,7037335,2022-08-01,2023-07-31,006Do000002QaxUIAS,2023 - Flooring+ - Renewal,Discovery
8945553-0,800Do000000xCmQIAU,Manual,Woodart Remodeling LLC,7037336,2022-08-01,2023-07-31,006Do000002QaENIA0,2023 - Woodart Remodeling LLC - Renewal,Discovery
8946230-0,800Do000000xCmRIAU,Manual,Elite TXP Services,7037337,2022-09-01,2023-08-31,006Do000002QbVFIA0,2023 - Elite TXP Services - Renewal,Discovery
8946987-0,800Do000000xCmSIAU,Manual,Astoria44,7037338,2022-07-01,2024-06-30,0063i00000JpY1MAAV,2023 - Astoria 44 Construction - Dodge Renewal,Solution/Value
8947375-0,800Do000000xCmTIAU,Auto,JAF Construction LLC,7037339,2022-12-01,2024-11-30,006Do000002QbjyIAC,2024 - JAF Construction LLC - Renewal,Discovery
8947383-0,800Do000000xCmUIAU,Auto,Priority Steel Industrial Contracting,7037340,2022-12-01,2024-11-30,0063i00000JpY1UAAV,2023 - Priority Steel Industrial Contracting - Dodge Renewal,Closed Lost
8948278-0,800Do000000xCmVIAU,Manual,Aurora Ceiling,7037341,2022-08-01,2024-07-31,006Do000002QbSLIA0,2024 - Aurora Ceiling - Renewal,Discovery
8949440-0,800Do000000xCmWIAU,Manual,Cordero's Welding & Millwright Services LLC,7037342,2022-08-01,2023-07-31,006Do000002QbGqIAK,2023 - Cordero's Welding & Millwright Services LLC - Renewal,Discovery
8949478-0,800Do000000xCmXIAU,Manual,All County Foam Pros,7037343,2022-08-01,2024-07-31,006Do000002QbVGIA0,2024 - All County Foam Pros - Renewal,Discovery
8949479-0,800Do000000xCmYIAU,Manual,Legacy Contracting,7037344,2022-08-01,2023-07-31,006Do000002QbkNIAS,2023 - Legacy Contracting - Renewal,Discovery
8949640-0,800Do000000xCmZIAU,Manual,Fab Welding Techs,7037345,2022-08-01,2023-07-31,006Do000002QbcBIAS,2023 - Fab Welding Techs - Renewal,Discovery
8949877-0,800Do000000xCmaIAE,Manual,Shons mechanical,7037346,2022-09-01,2024-08-31,006Do000002QbkSIAS,2024 - Shons mechanical - Renewal,Discovery
8949883-0,800Do000000xCmbIAE,Manual,Dynamic Solutions Inc.,7037347,2022-08-01,2023-07-31,006Do000002QbWxIAK,2023 - Dynamic Solutions Inc. - Renewal,Discovery
8949886-0,800Do000000xCmcIAE,Manual,Klinetele llc,7037348,2022-09-01,2024-08-31,006Do000002QbSZIA0,2024 - Klinetele llc - Renewal,Discovery
8949889-0,800Do000000xCmdIAE,Manual,Arch Genesis Networks,7037349,2022-09-01,2023-08-31,006Do000002QbhRIAS,2023 - Arch Genesis Networks - Renewal,Discovery
8949902-0,800Do000000xCmeIAE,Manual,BRANNAGAN FLOORING,7037350,2022-07-01,2023-06-30,006Do000002QbkXIAS,2023 - BRANNAGAN FLOORING - Renewal,Discovery
8949905-0,800Do000000xCmfIAE,Auto,Traverse Bay Custom Painting,7037351,2022-12-01,2024-11-30,006Do000002QbkcIAC,2024 - Traverse Bay Custom Painting - Renewal,Discovery
8950236-0,800Do000000xCmgIAE,Manual,Cubspain Group Inc.,7037352,2022-08-01,2024-07-31,006Do000002QbBdIAK,2024 - Cubspain Group Inc. - Renewal,Discovery
8950733-0,800Do000000xCmhIAE,Manual,Western Roofing,7037353,2022-08-01,2024-07-31,006Do000002Qb9fIAC,2024 - WESTERN ROOFING - Renewal,Discovery
8951097-0,800Do000000xCmiIAE,Manual,Katunga Corp,7037354,2022-08-01,2023-07-31,,,
8951428-0,800Do000000xCmjIAE,Manual,Urban Stone LLC,7037355,2022-08-01,2023-07-31,,,
8951451-0,800Do000000xCmkIAE,Auto,Oxford/Scott Painting Co.,7037356,2022-11-01,2023-10-31,006Do000002QbkFIAS,2023 - Oxford/Scott Painting Co. - Renewal,Discovery
895184-0,800Do000000xCmlIAE,Auto,"American Carpet South, Inc.",7037357,2023-01-01,2023-12-31,,,
8952154-0,800Do000000xCmmIAE,Manual,MRID & RIVERAS LLC,7037358,2022-08-01,2023-07-31,,,
8952571-0,800Do000000xCmnIAE,Manual,Real Janitorial,7037359,2022-10-01,2024-09-30,006Do000002QblGIAS,2024 - Real Janitorial - Renewal,Discovery
8952589-0,800Do000000xCmoIAE,Manual,Power Move Heavy Duty Hauling & Moving,7037360,2022-08-01,2023-07-31,,,
895298-0,800Do000000xCmpIAE,Manual,Ecuadesign Inc.,7037361,2022-06-01,2023-05-31,0063i00000JpUjiAAF,2023-Ecuadesign Inc.- BB Renewal,Solution/Value
8953429-0,800Do000000xCmqIAE,Manual,NASCO,7037362,2022-08-01,2023-07-31,,,
8954143-0,800Do000000xCmrIAE,Manual,Reger Electrical Services,7037363,2022-08-01,2023-07-31,006Do000002Qbm4IAC,2023 - Reger Electrical Services - Renewal,Discovery
8954156-0,800Do000000xCmsIAE,Manual,Quantum Contracting LLC,7037364,2022-10-01,2024-09-30,006Do000002QarVIAS,2024 - Quantum Contracting LLC - Renewal,Discovery
8954733-0,800Do000000xCmtIAE,Manual,GCCM Corp.,7037365,2022-09-01,2023-08-31,006Do000002QblzIAC,2023 - GCCM Corp. - Renewal,Discovery
8954741-0,800Do000000xCmuIAE,Manual,Prodigy Drywall LLC,7037366,2022-09-01,2023-08-31,006Do000002QbNNIA0,2023 - Prodigy Drywall LLC - Renewal,Discovery
8954747-0,800Do000000xCmvIAE,Manual,Barehand Electric LLC,7037367,2022-08-01,2024-07-31,006Do000002Qbm9IAC,2024 - Barehand Electric LLC - Renewal,Discovery
8954780-0,800Do000000xCmwIAE,Manual,"New Gen Concrete, Inc.",7037368,2022-08-01,2024-07-31,006Do000002QbmOIAS,"2024 - New Gen Concrete, Inc. - Renewal",Discovery
8955183-0,800Do000000xCmxIAE,Manual,RNG Cleaning Services LLC,7037369,2022-09-01,2024-08-31,006Do000002QarCIAS,2024 - RNG Cleaning Services LLC - Renewal,Discovery
8955190-0,800Do000000xCmyIAE,Manual,"M & A Painting, LLC",7037370,2022-08-01,2024-07-31,006Do000002QbWqIAK,"2024 - M & A Painting, LLC - Renewal",Discovery
8955200-0,800Do000000xCmzIAE,Manual,HomeMasters Pest Control,7037371,2022-09-01,2023-08-31,006Do000002QblNIAS,2023 - HomeMasters Pest Control - Renewal,Discovery
8955204-0,800Do000000xCn0IAE,Manual,Arete Construction Management,7037372,2022-09-01,2023-08-31,006Do000002QbmEIAS,2023 - Arete Construction Management - Renewal,Discovery
8955207-0,800Do000000xCn1IAE,Manual,Rebellion Steel,7037373,2022-08-01,2023-07-31,006Do000002QbmJIAS,2023 - Rebellion Steel - Renewal,Discovery
8955210-0,800Do000000xCn2IAE,Manual,K&K Industrial Welders LLC,7037374,2022-09-01,2023-08-31,006Do000002QbmnIAC,2023 - K&K Industrial Welders LLC - Renewal,Discovery
8955627-0,800Do000000xCn3IAE,Auto,De La Rosa Roofing,7037375,2023-01-01,2023-12-31,006Do000002QbmiIAC,2024 - De La Rosa Roofing - Renewal,Discovery
8955635-0,800Do000000xCn4IAE,Manual,StevenΓÇÖs Innovation LLC,7037376,2022-08-01,2024-07-31,006Do000002QbbvIAC,2024 - StevenΓÇÖs Innovation LLC - Renewal,Discovery
8956019-0,800Do000000xCn5IAE,Manual,Sports Surfacing Enterprises,7037377,2022-08-01,2023-07-31,006Do000002QbCJIA0,2023 - Sports Surfacing Enterprises - Renewal,Discovery
8956405-0,800Do000000xCn6IAE,Manual,A & J Custom Drywall,7037378,2022-10-01,2023-09-30,006Do000002QbmeIAC,2023 - A & J Custom Drywall - Renewal,Solution/Value
8956459-0,800Do000000xCn7IAE,Manual,The Brothers That Just Do Gutters,7037379,2022-09-01,2024-08-31,006Do000002QbicIAC,2024 - The Brothers That Just Do Gutters - Renewal,Discovery
8957370-0,800Do000000xCn8IAE,Manual,Engelhardt Concrete Services,7037380,2022-09-01,2024-08-31,006Do000002QbmsIAC,2024 - Engelhardt Concrete Services - Renewal,Discovery
8957415-0,800Do000000xCn9IAE,Manual,Ammonite Construction,7037381,2022-09-01,2024-08-31,006Do000002QbJ3IAK,2024 - Ammonite Construction - Renewal,Discovery
8957669-0,800Do000000xCnAIAU,Manual,RTA Modern,7037382,2022-10-01,2024-09-30,006Do000002QbBBIA0,2024 - RTA Modern - Renewal,Discovery
8957686-0,800Do000000xCnBIAU,Manual,Bay Area Lionsgate,7037383,2022-09-01,2023-08-31,006Do000002QbmZIAS,2023 - Bay Area Lionsgate - Renewal,Discovery
8958024-0,800Do000000xCnCIAU,Manual,West Coast Hot Mop,7037384,2022-09-01,2023-08-31,006Do000002QbOrIAK,2023 - West Coast Hot Mop - Renewal,Discovery
8958053-0,800Do000000xCnDIAU,Manual,Ground Breakers Lawn and Landscapes,7037385,2022-09-01,2024-08-31,006Do000002QbMRIA0,2024 - Ground Breakers Lawn and Landscapes - Renewal,Discovery
8958389-0,800Do000000xCnEIAU,Auto,Mast Excavating LLC,7037386,2023-01-01,2023-12-31,006Do000002QbY4IAK,2024 - Mast Excavating LLC - Renewal,Discovery
8958511-0,800Do000000xCnFIAU,Manual,On Call Estimating,7037387,2022-09-01,2023-08-31,006Do000002QbfdIAC,2023 - On Call Estimating - Renewal,Discovery
8959541-0,800Do000000xCnGIAU,Manual,Atlas Concrete Paving & Asphalt Corp.,7037388,2022-10-01,2024-09-30,006Do000002QbnWIAS,2024 - Atlas Concrete Paving & Asphalt Corp. - Renewal,Discovery
8960882-0,800Do000000xCnHIAU,Manual,502 Mechanical Solutions Inc.,7037389,2022-09-01,2023-08-31,006Do000002QbnbIAC,2023 - 502 Mechanical Solutions Inc. - Renewal,Discovery
8961984-0,800Do000000xCnIIAU,Manual,K and J Cleaning,7037390,2022-09-01,2023-08-31,006Do000002Qbd4IAC,2023 - K and J Cleaning - Renewal,Discovery
896198-0,800Do000000xCnJIAU,Manual,Future Infrastructure LLC,7037391,2021-08-01,2023-07-31,006Do000002QbOyIAK,2023 - Future Infrastructure LLC - Renewal,Discovery
8962068-0,800Do000000xCnKIAU,Auto,HP1 General LLC,7037392,2022-11-01,2024-10-31,006Do000002QbZzIAK,2024 - HP1 General LLC - Renewal,Discovery
8962594-0,800Do000000xCnLIAU,Manual,Dead Man's Dirty Work,7037393,2022-09-01,2023-08-31,006Do000002QbLsIAK,2023 - Dead Man's Dirty Work - Renewal,Discovery
8962624-0,800Do000000xCnMIAU,Auto,Miami Sheet Metals LLC,7037394,2023-01-01,2023-12-31,006Do000002QbOVIA0,2024 - Miami Sheet Metals LLC - Renewal,Discovery
8963067-0,800Do000000xCnNIAU,Auto,"B.A. Electric, Inc.",7037395,2022-11-01,2023-10-31,006Do000002Qbh0IAC,"2023 - B.A. Electric, Inc. - Renewal",Discovery
8963211-0,800Do000000xCnOIAU,Auto,Uptrade Flooring LLC,7037396,2022-11-01,2023-10-31,006Do000002QbT1IAK,2023 - Uptrade Flooring LLC - Renewal,Discovery
8963220-0,800Do000000xCnPIAU,Manual,Natural Falls Construction,7037397,2022-09-01,2024-08-31,006Do000002QbMTIA0,2024 - Natural Falls Construction - Renewal,Discovery
896356-0,800Do000000xCnQIAU,Manual,"O'Brien Construction, Inc.",7037398,2021-04-01,2023-03-31,006Do000002Qbo0IAC,"2023 - O'Brien Construction, Inc. - Renewal",Verbal Acceptance
8963949-0,800Do000000xCnRIAU,Manual,High Quality Painting LLC,7037399,2022-09-01,2023-08-31,006Do000002QboAIAS,2023 - High Quality Painting LLC - Renewal,Discovery
8963954-0,800Do000000xCnSIAU,Manual,The Grilling Store & Fireplace Shop,7037400,2022-09-01,2023-08-31,006Do000002QbhoIAC,2023 - The Grilling Store & Fireplace Shop - Renewal,Discovery
8964358-0,800Do000000xCnTIAU,Manual,C & C Glass Inc. (NY),7037401,2022-09-01,2023-08-31,006Do000002QbnSIAS,2023 - C & C Glass Inc. (NY) - Renewal,Discovery
8964397-0,800Do000000xCnUIAU,Manual,R&R Hydrostatic LLC,7037402,2022-10-01,2023-09-30,006Do000002QbVHIA0,2023 - R&R Hydrostatic LLC - Renewal,Discovery
8964570-0,800Do000000xCnVIAU,Manual,Rogue Demolition & Removal LLC,7037403,2022-09-01,2023-08-31,006Do000002QbOpIAK,2023 - Rogue Demolition & Removal LLC - Renewal,Discovery
8964575-0,800Do000000xCnWIAU,Manual,White Collar Plumbing,7037404,2022-09-01,2023-08-31,006Do000002QbWlIAK,2023 - White Collar Plumbing - Renewal,Discovery
8964997-0,800Do000000xCnXIAU,Auto,Airseal Insulation Systems - NJ,7037405,2023-01-01,2023-12-31,006Do000002QarlIAC,2024 - Airseal Insulation Systems - NJ - Renewal,Discovery
8965003-0,800Do000000xCnYIAU,Manual,Jones Lighting Services,7037406,2022-10-01,2023-09-30,006Do000002QbfeIAC,2023 - Jones Lighting Services - Renewal,Discovery
8965021-0,800Do000000xCnZIAU,Manual,Alfaro Hardwood Floors LLC,7037407,2022-09-01,2024-08-31,006Do000002QboQIAS,2024 - Alfaro Hardwood Floors LLC - Renewal,Discovery
8966643-0,800Do000000xCnaIAE,Manual,Pablo's Tile Works Inc.,7037408,2022-10-01,2023-09-30,006Do000002QbQLIA0,2023 - Pablo's Tile Works Inc. - Renewal,Discovery
8967012-0,800Do000000xCnbIAE,Manual,East Coast Masonry,7037409,2022-09-01,2023-08-31,006Do000002QboeIAC,2023 - East Coast Masonry - Renewal,Closed Lost
8967243-0,800Do000000xCncIAE,Manual,Ortiz Plumbing,7037410,2022-10-01,2023-09-30,006Do000002QbnDIAS,2023 - Ortiz Plumbing - Renewal,Discovery
8967555-0,800Do000000xCndIAE,Manual,Genesis Industries,7037411,2022-10-01,2023-09-30,006Do000002QbojIAC,2023 - Genesis Industries - Renewal,Discovery
8967583-0,800Do000000xCneIAE,Manual,Maddox Flooring,7037412,2022-09-01,2023-08-31,006Do000002QbK9IAK,2023 - Maddox Flooring - Renewal,Discovery
8967590-0,800Do000000xCnfIAE,Manual,GO Properties,7037413,2022-10-01,2023-09-30,006Do000002QbooIAC,2023 - GO Properties - Renewal,Discovery
8967592-0,800Do000000xCngIAE,Manual,Same D Security LLC,7037414,2022-09-01,2024-08-31,006Do000002QbQkIAK,2024 - Same D Security LLC - Renewal,Discovery
8967603-0,800Do000000xCnhIAE,Manual,First Class Fabrication,7037415,2022-10-01,2023-09-30,006Do000002QbiJIAS,2023 - First Class Fabrication - Renewal,Discovery
8968394-0,800Do000000xCniIAE,Manual,Construction Y&J Golden Services Inc.,7037416,2022-10-01,2023-09-30,006Do000002QbRTIA0,2023 - Construction Y&J Golden Services Inc. - Renewal,Discovery
8968599-0,800Do000000xCnjIAE,Manual,B6 Security & Investigations LLC,7037417,2022-10-01,2024-09-30,006Do000002QbQlIAK,2024 - B6 Security & Investigations LLC - Renewal,Discovery
8968771-0,800Do000000xCnkIAE,Manual,Peach Mill Supply Works LLC,7037418,2022-10-01,2023-09-30,006Do000002QbS8IAK,2023 - Peach Mill Supply Works LLC - Renewal,Discovery
8969105-0,800Do000000xCnlIAE,Manual,Isaac's Asphalt Paving,7037419,2022-09-01,2023-08-31,006Do000002QbYyIAK,2023 - Isaac's Asphalt Paving - Renewal,Discovery
8969139-0,800Do000000xCnmIAE,Manual,Noble L&M Commercial and Residential GC,7037420,2022-10-01,2023-09-30,006Do000002QbRIIA0,2023 - Noble L&M Commercial and Residential GC - Renewal,Discovery
8969265-0,800Do000000xCnnIAE,Manual,Northern Dreamscape,7037421,2022-10-01,2024-09-30,006Do000002QbINIA0,2024 - Northern Dreamscape - Renewal,Discovery
8969450-0,800Do000000xCnoIAE,Manual,Sallpro Plumbing,7037422,2022-10-01,2024-09-30,006Do000002QbS1IAK,2024 - Sallpro Plumbing - Renewal,Discovery
8969494-0,800Do000000xCnpIAE,Manual,Shannon's Cleaning Service,7037423,2022-10-01,2024-09-30,006Do000002QaXnIAK,2024 - Shannon's Cleaning Service - Renewal,Discovery
8969503-0,800Do000000xCnqIAE,Manual,Konrad Guernsey Construction,7037424,2022-10-01,2023-09-30,006Do000002Qb1JIAS,2023 - Konrad Guernsey Construction - Renewal,Discovery
8969536-0,800Do000000xCnrIAE,Manual,Target Safety Group LLC,7037425,2022-10-01,2023-09-30,006Do000002QavwIAC,2023 - Target Safety Group LLC - Renewal,Discovery
896976-0,800Do000000xCnsIAE,Manual,"Eubank Excavation, L.L.C.",7037426,2022-03-01,2023-02-28,0063i00000JpUYEAA3,"2023-Eubank Excavation, L.L.C.- BB Renewal",Closed Won
8970105-0,800Do000000xCntIAE,Manual,Neverrr Dulll Asphalt Maintenance & Preservation,7037427,2022-10-01,2023-09-30,006Do000002QbpNIAS,2023 - Neverrr Dulll Asphalt Maintenance & Preservation - Renewal,Discovery
8970257-0,800Do000000xCnuIAE,Manual,McPenn Custom Concrete,7037428,2022-10-01,2023-09-30,006Do000002Qb9TIAS,2023 - McPenn Custom Concrete - Renewal,Discovery
8970303-0,800Do000000xCnvIAE,Manual,AKF Energy Electrical Contractor LLC,7037429,2022-10-01,2023-09-30,006Do000002QbSaIAK,2023 - AKF Energy Electrical Contractor LLC - Renewal,Discovery
8970645-0,800Do000000xCnwIAE,Auto,Irby Electric,7037430,2023-02-01,2025-01-31,006Do000002QawCIAS,2025 - Irby Electric - Renewal,Discovery
8970666-0,800Do000000xCnxIAE,Manual,Fortune Interiors,7037431,2022-10-01,2023-09-30,006Do000002QbjLIAS,2023 - Fortune Interiors - Renewal,Discovery
8971357-0,800Do000000xCnyIAE,Manual,"Araz Electric, Inc.",7037432,2022-10-01,2023-09-30,006Do000002QbE1IAK,"2023 - Araz Electric, Inc. - Renewal",Discovery
8971386-0,800Do000000xCnzIAE,Manual,"Mountain Point Construction, LLC",7037433,2022-10-01,2024-09-30,006Do000002QbpwIAC,"2024 - Mountain Point Construction, LLC - Renewal",Discovery
8971397-0,800Do000000xCo0IAE,Manual,PLS Construction,7037434,2022-10-01,2023-09-30,006Do000002Qbh5IAC,2023 - PLS Construction - Renewal,Discovery
8971438-0,800Do000000xCo1IAE,Manual,Global One Inc.,7037435,2022-10-01,2023-09-30,006Do000002QbjzIAC,2023 - Global One Inc. - Renewal,Discovery
8971682-0,800Do000000xCo2IAE,Auto,Murcia's Roofing LLC,7037436,2022-11-01,2023-10-31,006Do000002QbO3IAK,2023 - Murcia's Roofing LLC - Renewal,Discovery
8971704-0,800Do000000xCo3IAE,Manual,Luminate Electric,7037437,2022-10-01,2023-09-30,006Do000002QbDBIA0,2023 - Luminate Electric - Renewal,Discovery
8972116-0,800Do000000xCo4IAE,Auto,New England Creations,7037438,2022-12-01,2024-11-30,006Do000002QbGLIA0,2024 - New England Creations - Renewal,Discovery
