Account_Seq_Number__c,Id,Renewal_Mode__c,Account_Name__c,ContractNumber,StartDate,EndDate,SBQQ__RenewalOpportunity__r.Name,SBQQ__RenewalOpportunity__r.StageName
369968-1,800Do000000xDflIAE,Manual,"Garden City Construction, Inc.",7040763,2022-10-01,2024-09-30,"2024 - Garden City Construction, Inc. - Renewal",Discovery
370447-0,800Do000000xDfnIAE,Manual,"Gragan and Sons Glass Co., Inc.",7040765,2021-03-01,2023-02-28,"2023-Gragan and Sons Glass Co., Inc.- BB Renewal",Closed Won
370585-0,800Do000000xDfoIAE,Manual,Cordone & Tonucci Inc.,7040766,2021-09-01,2023-08-31,2023 - Cordone & Tonucci Inc. - Renewal,Discovery
3709800-0,800Do000000xDfpIAE,Manual,"Master Renovations, Inc.",7040767,2021-03-01,2023-02-28,"2023-Master Renovations, Inc.- BB Renewal",Closed Won
3720189-0,800Do000000xDfrIAE,Manual,Jaba Construction LLC,7040769,2021-06-01,2023-05-31,2023-Jaba Construction LLC- BB Renewal,Solution/Value
3720248-0,800Do000000xDfsIAE,Manual,Seven Seas Construction,7040770,2022-02-01,2024-01-31,2024 - Seven Seas Construction - Renewal,Discovery
373053-0,800Do000000xDfwIAE,Manual,HP EnviroVision,7040774,2021-09-01,2023-08-31,2023 - HP EnviroVision - Renewal,Discovery
373548-0,800Do000000xDfyIAE,Manual,Steinway Awning II LLC,7040776,2022-09-01,2024-08-31,2024 - Steinway Awning II LLC - Renewal,Discovery
373702-0,800Do000000xDfzIAE,Manual,Atlantic Awning,7040777,2022-08-01,2024-07-31,2024 - Atlantic Awning - Renewal,Discovery
3749339-0,800Do000000xDg2IAE,Manual,"Advanced Caulking Svcs., Inc.",7040780,2022-02-01,2023-01-31,2023 - Advanced Caulking Services Inc - Dodge & BB Renewal,Closed Won
375168-0,800Do000000xDg4IAE,Manual,DW Interiors,7040782,2021-06-01,2023-05-31,2023-DW Interiors- BB Renewal,Proposal
375187-0,800Do000000xDg5IAE,Manual,"Deen Electrical Contractors, Inc.",7040783,2022-10-01,2024-09-30,"2024 - Deen Electrical Contractors, Inc. - Renewal",Discovery
376025-0,800Do000000xDg6IAE,Manual,G.C. Iron Works,7040784,2021-09-01,2023-08-31,2023 - G.C. Iron Works - Renewal,Discovery
376036-0,800Do000000xDg7IAE,Auto,C. White Marine Inc.,7040785,2023-01-01,2023-12-31,2024 - C. White Marine Inc. - Renewal,Discovery
376340-2,800Do000000xDg8IAE,Auto,Sierra Insulation Contractors,7040786,2023-01-01,2024-12-31,2025 - Sierra Insulation Contractors - Renewal,Discovery
376646-1,800Do000000xDg9IAE,Manual,"C.S.E. Paving of FL, Inc.",7040787,2022-09-01,2024-08-31,"2024 - C.S.E. Paving of FL, Inc. - Renewal",Discovery
376678-1,800Do000000xDgAIAU,Manual,Butler Coring Inc.,7040788,2021-04-01,2023-03-31,2023 - Butler Coring Inc. - BB Renewal,Discovery
378067-0,800Do000000xDgFIAU,Auto,"S & T Plumbing, Inc.",7040793,2023-01-01,2024-12-31,"2025 - S & T Plumbing, Inc. - Renewal",Discovery
378951-0,800Do000000xDgGIAU,Manual,Sunrise Grading & Paving,7040794,2022-02-01,2024-01-31,2024 - Sunrise Grading & Paving - Renewal,Discovery
379488-0,800Do000000xDgHIAU,Auto,Alarcon Sons,7040795,2022-12-01,2024-11-30,2024 - Alarcon Sons - Renewal,Discovery
38057-0,800Do000000xDgIIAU,Manual,"Zander Solutions, Inc.",7040796,2021-07-01,2023-06-30,"2023-Zander Solutions, Inc.- BB Renewal",Solution/Value
380869-0,800Do000000xDgKIAU,Auto,"Encore Construction, Inc.",7040798,2023-01-01,2023-12-31,"2024 - Encore Construction, Inc. - Renewal",Discovery
381221-0,800Do000000xDgLIAU,Auto,"MAC Sprinkler, Inc.",7040799,2022-12-01,2024-11-30,"2024 - MAC Sprinkler, Inc. - Renewal",Discovery
381286-0,800Do000000xDgMIAU,Manual,"Handi-Lift, Inc.",7040800,2022-09-01,2024-08-31,"2024 - Handi-Lift, Inc. - Renewal",Discovery
381675-0,800Do000000xDgNIAU,Manual,Hanlon Acoustical Ceilings,7040801,2021-05-01,2023-04-30,2023-Hanlon Acoustical Ceilings- BB Renewal,Solution/Value
382726-0,800Do000000xDgOIAU,Manual,"A4 Access A Sub. of Wright & Filippis, Inc.",7040802,2021-06-01,2023-05-31,"2023-A4 Access A Sub. of Wright & Filippis, Inc.- BB Renewal",Solution/Value
383791-0,800Do000000xDgRIAU,Manual,"BrandSafway Solutions, LLC",7040805,2022-01-01,2023-12-31,"2024 - BrandSafway Solutions, LLC - Renewal",Discovery
384103-0,800Do000000xDgTIAU,Manual,NCJ Painting,7040807,2021-05-01,2023-04-30,2023-NCJ Painting- BB Renewal,Solution/Value
384113-0,800Do000000xDgUIAU,Manual,Hudson Masonry Corp.,7040808,2022-03-01,2024-02-29,2024 - Hudson Masonry Corp. - Renewal,Discovery
385605-0,800Do000000xDgXIAU,Manual,Texas Overhead Door,7040811,2021-09-01,2023-08-31,2023 - Texas Overhead Door - Renewal,Discovery
386336-1,800Do000000xDgZIAU,Manual,"Quick Response Fire Protection, Inc.",7040813,2021-10-01,2023-09-30,"2023 - Quick Response Fire Protection, Inc. - Renewal",Discovery
388152-0,800Do000000xDgbIAE,Auto,Building Material Plus,7040815,2022-12-01,2024-11-30,2024 - Building Material Plus - Renewal,Discovery
388156-0,800Do000000xDgcIAE,Manual,Paradigm Construction LLC,7040816,2021-12-01,2023-11-30,2023 - Paradigm Construction LLC - Renewal,Discovery
388895-0,800Do000000xDgfIAE,Auto,"Healy, Long & Jevin, Inc.",7040819,2022-11-01,2024-10-31,"2024 - Healy, Long & Jevin, Inc. - Renewal",Discovery
388998-0,800Do000000xDggIAE,Manual,"Branch River Plastics, Inc.",7040820,2021-04-01,2023-03-31,"2023-Branch River Plastics, Inc.- BB Renewal",Proposal
390104-0,800Do000000xDghIAE,Manual,"Country Glass & Mirror, Inc.",7040821,2022-03-01,2024-02-29,"2024 - Country Glass & Mirror, Inc. - Renewal",Discovery
391651-0,800Do000000xDgjIAE,Manual,"Fire Controls, Inc.",7040823,2022-02-01,2024-01-31,"2024 - Fire Controls, Inc. - Renewal",Discovery
392671-0,800Do000000xDgkIAE,Manual,"Stonetec, Inc.",7040824,2021-05-01,2023-04-30,"2023-Stonetec, Inc.- BB Renewal",Solution/Value
393296-0,800Do000000xDglIAE,Manual,SMITH'S PAINTING,7040825,2022-08-01,2023-07-31,2023 - SMITH'S PAINTING - Renewal,Discovery
393435-0,800Do000000xDgmIAE,Manual,Kinsale Contracting Group Inc.,7040826,2022-01-01,2023-12-31,2024 - Kinsale Contracting Group Inc. - Renewal,Discovery
394261-0,800Do000000xDgnIAE,Auto,"Sims Grading, Inc.",7040827,2022-11-01,2024-10-31,"2024 - Sims Grading, Inc. - Renewal",Discovery
395297-1,800Do000000xDgpIAE,Manual,"Concrete Reflections, Inc.",7040829,2022-08-01,2024-07-31,"2024 - Concrete Reflections, Inc. - Renewal",Discovery
397388-0,800Do000000xDgsIAE,Manual,Sun-Lite Corporation,7040832,2021-09-01,2023-08-31,2023 - Sun-Lite Corporation - Renewal,Discovery
3977399-1,800Do000000xDgtIAE,Manual,"Empire Sheet Metal, Inc.",7040833,2021-05-01,2023-04-30,"2023-Empire Sheet Metal, Inc.- BB Renewal",Solution/Value
3979122-0,800Do000000xDguIAE,Auto,Energy Wise Heating & Air Conditioning,7040834,2023-01-01,2024-12-31,2025 - Energy Wise Heating & Air Conditioning - Renewal,Discovery
399216-0,800Do000000xDgvIAE,Auto,Hoffman Floor Covering Corp.,7040835,2023-02-01,2025-01-31,bb hoffman floor,Closed Won
400336-0,800Do000000xDgxIAE,Auto,"Little Washington Fabricators, Inc.",7040837,2023-01-01,2024-12-31,"2025 - Little Washington Fabricators, Inc. - Renewal",Discovery
401226-2,800Do000000xDgzIAE,Manual,"Jackson Automatic Sprinkler, Ltd.",7040839,2021-06-01,2023-05-31,"2023-Jackson Automatic Sprinkler, Ltd.- BB Renewal",Solution/Value
402278-0,800Do000000xDh0IAE,Manual,B - One Construction Co.,7040840,2022-05-01,2023-04-30,2023-B - One Construction Co.- BB Renewal,Solution/Value
402707-1,800Do000000xDh1IAE,Manual,"New York Marble & Ceramic, Inc.",7040841,2022-04-01,2023-03-31,"2023-New York Marble & Ceramic, Inc.- BB Renewal",Closed Won
403449-2,800Do000000xDh2IAE,Manual,"Reliable Paving, Inc.",7040842,2022-01-01,2023-12-31,"2024 - Reliable Paving, Inc. - Renewal",Discovery
4037900-0,800Do000000xDh3IAE,Manual,Riverbank Interiors,7040843,2021-12-01,2023-11-30,2023 - Riverbank Interiors - Renewal,Discovery
404411-0,800Do000000xDh5IAE,Manual,"Your First Choice Painting, Inc.",7040845,2021-06-01,2023-05-31,"2023-Your First Choice Painting, Inc.- BB Renewal",Solution/Value
405153-0,800Do000000xDh6IAE,Manual,"Ladybug Concrete Specialties, Inc.",7040846,2022-04-01,2024-03-31,"2024 - Ladybug Concrete Specialties, Inc. - Renewal",Discovery
405840-0,800Do000000xDh8IAE,Manual,Hudson Awning & Sign Co. Inc.,7040848,2021-03-01,2023-02-28,2023-Hudson Awning & Sign Co. Inc.- BB Renewal,Closed Won
405899-0,800Do000000xDh9IAE,Manual,Universal Timber Structures,7040849,2021-11-01,2023-10-31,2023 - Universal Timber Structures - Renewal,Discovery
407490-0,800Do000000xDhCIAU,Manual,"Gerber Pumps International, Inc.",7040852,2021-03-01,2023-02-28,"2023-Gerber Pumps International, Inc.- BB Renewal",Closed Lost
408218-0,800Do000000xDhDIAU,Manual,"MB Carpets & Flooring, LLC",7040853,2021-10-01,2023-09-30,"2023 - MB Carpets & Flooring, LLC - Renewal",Discovery
409277-0,800Do000000xDhEIAU,Manual,"Hygrade Insulators, Inc.",7040854,2022-01-01,2023-12-31,"2024 - Hygrade Insulators, Inc. - Renewal",Discovery
410177-0,800Do000000xDhGIAU,Auto,"TOMCO, Inc.",7040856,2022-12-01,2024-11-30,"2024 - TOMCO, Inc. - Renewal",Discovery
4120114-0,800Do000000xDhHIAU,Manual,"Castaway Plumbing, Inc.",7040857,2022-10-01,2024-09-30,"2024 - Castaway Plumbing, Inc. - Renewal",Discovery
412601-0,800Do000000xDhIIAU,Manual,Industrial Floor Corporation,7040858,2022-01-01,2023-12-31,2024 - Industrial Floor Corporation - Renewal,Discovery
413350-0,800Do000000xDhKIAU,Auto,Industrial Services Enterprises,7040860,2023-01-01,2023-12-31,2024 - Industrial Services Enterprises - Renewal,Discovery
4137759-0,800Do000000xDhLIAU,Manual,Advantage Building Supply LLC,7040861,2021-07-01,2023-06-30,2023-Advantage Building Supply LLC- BB Renewal,Solution/Value
4140932-0,800Do000000xDhNIAU,Manual,Plazo Construction,7040863,2022-09-01,2023-08-31,2023 - Plazo Construction - Renewal,Discovery
414524-0,800Do000000xDhPIAU,Manual,Ystone LLC,7040865,2021-04-01,2023-03-31,2023-Ystone LLC- BB Renewal,Solution/Value
414734-0,800Do000000xDhQIAU,Manual,Kinley FLA LLC,7040866,2021-06-01,2023-05-31,2023-Kinley FLA LLC- BB Renewal,Solution/Value
415140-0,800Do000000xDhSIAU,Manual,"Schofield Concrete Forms, Inc.",7040868,2022-08-01,2023-07-31,"2023 - Schofield Concrete Forms, Inc. - Renewal",Discovery
416507-0,800Do000000xDhUIAU,Manual,Eight Brothers Development,7040870,2022-03-01,2023-02-28,2023-Eight Brothers Development- BB Renewal,Closed Won
4168250-0,800Do000000xDhVIAU,Manual,Collins Construction Services,7040871,2021-09-01,2023-08-31,2023 - Collins Construction Services - Renewal,Discovery
4171405-0,800Do000000xDhWIAU,Manual,MidTex Masonry LLC,7040872,2021-07-01,2023-06-30,2023-MidTex Masonry LLC- BB Renewal,Solution/Value
2637467-1,800Do000000xDmTIAU,Manual,Total Barricade Service Inc.,7041213,2021-04-01,2023-03-31,,
2653150-1,800Do000000xDn0IAE,Manual,"American Concrete Coatings, Inc.",7041216,2021-09-01,2023-08-31,"2023 - American Concrete Coatings, Inc. - Renewal",Discovery
266063-0,800Do000000xDn2IAE,Manual,Catalina Design,7041218,2021-05-01,2023-04-30,2023-Catalina Design- BB Renewal,Solution/Value
266380-0,800Do000000xDn3IAE,Auto,"Custom Service, Inc.",7041219,2023-01-01,2023-12-31,"2024 - Custom Service, Inc. - Renewal",Discovery
267109-0,800Do000000xDn5IAE,Manual,"DA Sullivan & Sons, Inc.",7041221,2022-05-01,2023-04-30,"2023-DA Sullivan & Sons, Inc.- BB Renewal",Solution/Value
267616-0,800Do000000xDn6IAE,Manual,D & D Electric Co.,7041222,2022-10-01,2024-09-30,2024 - D & D Electric Co. - Renewal,Discovery
267647-0,800Do000000xDn7IAE,Manual,"Underground Electrical Services, Inc.",7041223,2021-09-01,2023-08-31,"2023 - Underground Electrical Services, Inc. - Renewal",Discovery
267748-0,800Do000000xDn8IAE,Manual,D & D Traffic Control Inc.,7041224,2021-05-01,2023-04-30,2023-D & D Traffic Control Inc.- BB Renewal,Proposal
2683037-0,800Do000000xDn9IAE,Manual,Accent Plumbing,7041225,2021-04-01,2023-03-31,2023-Accent Plumbing- BB Renewal,Closed Lost
268353-0,800Do000000xDnAIAU,Auto,"Marguerite Concrete, Inc.",7041226,2023-01-01,2024-12-31,"2025 - Marguerite Concrete, Inc. - Renewal",Discovery
269099-0,800Do000000xDnDIAU,Manual,"McCarthy Construction, Inc.",7041229,2022-02-01,2024-01-31,"2024 - McCarthy Construction, Inc. - Renewal",Discovery
269647-2,800Do000000xDnEIAU,Manual,"Dallas Contracting Co., Inc.",7041230,2022-01-01,2023-12-31,"2024 - Dallas Contracting Co., Inc. - Renewal",Discovery
269766-0,800Do000000xDnFIAU,Manual,"ACM Services, LLC",7041231,2022-02-01,2023-01-31,"2023-ACM Services, LLC- BB Renewal",Solution/Value
269994-0,800Do000000xDnGIAU,Manual,Burton's Mechanical Inc.,7041232,2021-04-01,2023-03-31,2023-Burton's Mechanical Inc.- BB Renewal,Closed Won
270079-0,800Do000000xDnHIAU,Auto,Gemstar Construction Corp,7041233,2023-01-01,2024-12-31,2025 - Gemstar Construction Corp - Renewal,Discovery
271090-0,800Do000000xDnJIAU,Manual,U.S. Environmental Abatement Corp.,7041235,2022-09-01,2024-08-31,2024 - U.S. Environmental Abatement Corp. - Renewal,Discovery
271321-0,800Do000000xDnKIAU,Manual,"Acolite Claude United Sign Co., Inc.",7041236,2021-07-01,2023-06-30,"2023-Acolite Claude United Sign Co., Inc.- BB Renewal",Solution/Value
27138-0,800Do000000xDnLIAU,Manual,"Waugh Asphalt, Inc.",7041237,2021-10-01,2023-09-30,"2023 - Waugh Asphalt, Inc. - Renewal",Discovery
2721449-1,800Do000000xDnPIAU,Manual,Choice Companies,7041241,2022-03-01,2024-02-29,2024 - Choice Companies - Renewal,Discovery
2735241-1,800Do000000xDnSIAU,Manual,Florida Fence Corporation,7041244,2022-03-01,2024-02-29,2024 - Florida Fence Corporation - Renewal,Discovery
275244-0,800Do000000xDnYIAU,Manual,ASE Illini-Scapes Inc.,7041250,2022-03-01,2024-02-29,2024 - ASE Illini-Scapes Inc. - Renewal,Discovery
275260-0,800Do000000xDnZIAU,Manual,"Mon-Oc Fire Protection, Inc.",7041251,2021-03-01,2023-02-28,"2023-Mon-Oc Fire Protection, Inc.- BB Renewal",Closed Won
2758872-0,800Do000000xDnbIAE,Manual,"R.A. Rush Plumbing & Heating, Inc.",7041253,2021-12-01,2023-11-30,"2023 - R.A. Rush Plumbing & Heating, Inc. - Renewal",Discovery
276388-0,800Do000000xDndIAE,Manual,Del-Sano Contracting Corp.,7041255,2021-11-01,2023-10-31,2023 - Del-Sano Contracting Corp. - Renewal,Discovery
276533-0,800Do000000xDneIAE,Manual,"Up Right Services, Inc.",7041256,2021-03-01,2023-02-28,"2023-Up Right Services, Inc.- BB Renewal",Closed Lost
276621-0,800Do000000xDnfIAE,Manual,"RLP Diversified, Inc.",7041257,2022-03-01,2024-02-29,"2024 - RLP Diversified, Inc. - Renewal",Discovery
276983-0,800Do000000xDngIAE,Manual,Tab Glass & Window Corp.,7041258,2021-10-01,2023-09-30,2023 - Tab Glass & Window Corp. - Renewal,Discovery
2771579-0,800Do000000xDnhIAE,Auto,Carey Construction Group LLC,7041259,2022-12-01,2023-11-30,2023 - Carey Construction Group LLC - Renewal,Discovery
278248-0,800Do000000xDnkIAE,Manual,"Delmarva Roofing & Coating, Inc.",7041262,2021-10-01,2023-09-30,"2023 - Delmarva Roofing & Coating, Inc. - Renewal",Discovery
278286-2,800Do000000xDnlIAE,Manual,Deloury Industries,7041263,2021-05-01,2023-04-30,2023 - Deloury Industries - Renewal,Solution/Value
2789216-0,800Do000000xDnnIAE,Manual,Custom On-Site Inc.,7041265,2021-04-01,2023-03-31,2023-Custom On-Site Inc.- BB Renewal,Solution/Value
279614-0,800Do000000xDnpIAE,Manual,"L.F. Mahoney, Inc.",7041267,2022-07-01,2023-06-30,"2023-L.F. Mahoney, Inc.- BB Renewal",Solution/Value
279769-0,800Do000000xDnqIAE,Manual,Commercial Sign Crafters,7041268,2021-12-01,2023-11-30,2023 - Commercial Sign Crafters - Renewal,Discovery
2809244-0,800Do000000xDnrIAE,Manual,Transformation Painting,7041269,2021-12-01,2023-11-30,2023 - Transformation Painting - Renewal,Discovery
280976-1,800Do000000xDnsIAE,Auto,"A-1 Enterprises, Inc.",7041270,2023-02-01,2025-01-31,"2023-A-1 Enterprises, Inc.- BB Renewal",Closed Won
2813047-0,800Do000000xDnvIAE,Manual,"CCS Concrete, LLC",7041273,2021-09-01,2023-08-31,"2023 - CCS Concrete, LLC - Renewal",Discovery
2816017-1,800Do000000xDnyIAE,Manual,LC Construction Management LLC,7041276,2022-04-01,2024-03-31,2024 - LC Construction Management LLC - Renewal,Discovery
281887-0,800Do000000xDo0IAE,Manual,Doctor Tint & Details,7041278,2021-03-01,2023-02-28,,
2820378-0,800Do000000xDo1IAE,Manual,"American Curtain Wall, Inc.",7041279,2021-07-01,2023-06-30,"2023-American Curtain Wall, Inc.- BB Renewal",Solution/Value
284078-0,800Do000000xDo4IAE,Manual,"Fine Line Electric, Inc.",7041282,2021-10-01,2023-09-30,"2023 - Fine Line Electric, Inc. - Renewal",Discovery
285178-1,800Do000000xDo8IAE,Manual,"G & J Paving, Inc.",7041286,2021-11-01,2023-10-31,"2023 - G & J Paving, Inc. - Renewal",Discovery
2859212-0,800Do000000xDo9IAE,Manual,"Aquaterra Technologies, Inc.",7041287,2021-07-01,2023-06-30,"2023-Aquaterra Technologies, Inc.- BB Renewal",Solution/Value
2861609-0,800Do000000xDoBIAU,Manual,East Coast Contracting LLC,7041289,2021-11-01,2023-10-31,2023 - East Coast Contracting LLC - Renewal,Discovery
286935-0,800Do000000xDoEIAU,Auto,"General Interiors, Inc.",7041292,2022-12-01,2024-11-30,"2024 - General Interiors, Inc. - Renewal",Discovery
287457-0,800Do000000xDoFIAU,Manual,"Ghafari Associates, LLC",7041293,2021-07-01,2023-06-30,"2023-Ghafari Associates, LLC- BB Renewal",Solution/Value
287766-1,800Do000000xDoGIAU,Auto,"Christy Glass Company, Inc.",7041294,2023-01-01,2024-12-31,"2025 - Christy Glass Company, Inc. - Renewal",Discovery
287974-0,800Do000000xDoHIAU,Manual,Blackburn's Fabrication Inc.,7041295,2021-09-01,2023-08-31,2023 - Blackburn's Fabrication Inc. - Renewal,Discovery
288418-0,800Do000000xDoIIAU,Manual,"Environmental Demolition Group, LLC",7041296,2021-11-01,2023-10-31,"2023 - Environmental Demolition Group, LLC - Renewal",Discovery
288570-0,800Do000000xDoJIAU,Manual,"Service One, Inc.",7041297,2022-09-01,2023-08-31,"2023 - Service One, Inc. - Renewal",Discovery
289033-0,800Do000000xDoKIAU,Manual,"Addscape, Inc. DBA Alpha Omega Builders",7041298,2021-04-01,2023-03-31,"2023 - Addscape, Inc. DBA Alpha Omega Builders - Renewal",Discovery
2900282-0,800Do000000xDoMIAU,Manual,"CTC Services, Inc.",7041300,2021-10-01,2023-09-30,"2023 - CTC Services, Inc. - Renewal",Discovery
2901633-0,800Do000000xDoNIAU,Manual,"Window Products Management, Inc.",7041301,2022-10-01,2024-09-30,"2024 - Window Products Management, Inc. - Renewal",Discovery
2910690-0,800Do000000xDoQIAU,Manual,Rodriguez Concrete Construction,7041304,2021-09-01,2023-08-31,2023 - Rodriguez Concrete Construction - Renewal,Discovery
2912633-0,800Do000000xDoRIAU,Manual,City Demo Company LLC,7041305,2022-04-01,2023-03-31,2023-City Demo Company LLC- BB Renewal,Proposal
291324-0,800Do000000xDoSIAU,Manual,Topline Advertising Inc.,7041306,2021-06-01,2023-05-31,2023-Topline Advertising Inc.- BB Renewal,Solution/Value
2914677-0,800Do000000xDoVIAU,Manual,Huot Construction & Services Inc.,7041309,2021-05-01,2023-04-30,2023-Huot Construction & Services Inc.- BB Renewal,Solution/Value
291755-0,800Do000000xDoXIAU,Manual,"Master Electric A Div. of Excel Electric of WI, LLC",7041311,2021-09-01,2023-08-31,"2023 - Master Electric A Div. of Excel Electric of WI, LLC - Renewal",Discovery
292318-0,800Do000000xDoZIAU,Manual,New Tech Mechanical Systems Incorporated,7041313,2022-01-01,2023-12-31,2024 - New Tech Mechanical Systems Incorporated - Renewal,Discovery
2932225-0,800Do000000xDoaIAE,Manual,Warriner Smith Inc.,7041314,2022-03-01,2024-02-29,2024 - Warriner Smith Inc. - Renewal,Discovery
293351-0,800Do000000xDobIAE,Manual,T. Galante Construction Inc.,7041315,2022-02-01,2023-01-31,,
293565-1,800Do000000xDocIAE,Manual,"Kelly Iron Works, Inc.",7041316,2021-10-01,2023-09-30,"2023 - Kelly Iron Works, Inc. - Renewal",Discovery
296580-0,800Do000000xDoeIAE,Auto,Duo Plumbing & Heating Corp.,7041318,2023-01-01,2023-12-31,2024 - Duo Plumbing & Heating Corp. - Renewal,Discovery
296998-3,800Do000000xDofIAE,Manual,Durable Steel Structures,7041319,2021-05-01,2023-04-30,2023-Durable Steel Structures- BB Renewal,Discovery
297380-0,800Do000000xDogIAE,Auto,"DiGioia Brothers Construction Co., Inc.",7041320,2022-11-01,2024-10-31,"2024 - DiGioia Brothers Construction Co., Inc. - Renewal",Discovery
2982863-1,800Do000000xDohIAE,Manual,Premium Decorating LLC,7041321,2021-08-01,2023-07-31,2023 - Premium Decorating LLC - Renewal,Discovery
298379-1,800Do000000xDoiIAE,Manual,"New South Systems, Inc.",7041322,2021-07-01,2023-06-30,"2023-New South Systems, Inc.- BB Renewal",Solution/Value
298903-1,800Do000000xDojIAE,Manual,Garden State Sealing,7041323,2021-06-01,2023-05-31,2023-Garden State Sealing- BB Renewal,Solution/Value
299074-0,800Do000000xDokIAE,Manual,"Nixco Plumbing, Inc.",7041324,2021-04-01,2023-03-31,"2023-NixCo Plumbing, Inc.- BB Renewal",Solution/Value
2991587-0,800Do000000xDolIAE,Manual,"Kumar Electrical, Inc.",7041325,2022-03-01,2024-02-29,"2024 - Kumar Electrical, Inc. - Renewal",Discovery
2992336-1,800Do000000xDomIAE,Manual,"Pinnacle Tile & Flooring, Inc.",7041326,2022-03-01,2023-02-28,"2023-Pinnacle Tile & Flooring, Inc.- BB Renewal",Solution/Value
2993765-0,800Do000000xDonIAE,Manual,Crown Mechanical,7041327,2022-08-01,2023-07-31,2023 - Crown Mechanical - Renewal,Discovery
300435-0,800Do000000xDorIAE,Manual,John Rocco Sales Next Generation LLC,7041331,2021-09-01,2023-08-31,2023 - John Rocco Sales Next Generation LLC - Renewal,Discovery
3016030-0,800Do000000xDotIAE,Manual,DGC Cleaning Services LLC,7041333,2022-08-01,2024-07-31,2024 - DGC Cleaning Services LLC - Renewal,Discovery
3024555-1,800Do000000xDouIAE,Auto,Garage Door Services,7041334,2022-12-01,2023-11-30,2023 - Garage Door Services - Renewal,Discovery
302504-0,800Do000000xDovIAE,Auto,Eastern Solar Glass LLC,7041335,2023-02-01,2024-01-31,2023 - Eastern Solar Glass LLC - BB Renewal,Closed Won
302688-2,800Do000000xDowIAE,Manual,C.A. Lindman,7041336,2021-09-01,2023-08-31,2023 - C.A. Lindman - Renewal,Discovery
303187-0,800Do000000xDoxIAE,Manual,Argosy Floor Covering LLC,7041337,2021-09-01,2023-08-31,2023 - Argosy Floor Covering LLC - Renewal,Discovery
3035578-0,800Do000000xDoyIAE,Auto,NJ Sign & Awning LLC,7041338,2023-01-01,2023-12-31,,
3037273-1,800Do000000xDozIAE,Auto,"Egnatia Construction, Inc.",7041339,2022-11-01,2024-10-31,,
303886-0,800Do000000xDp0IAE,Manual,Pyrotection Specialists Inc.,7041340,2021-08-01,2023-07-31,2023 - Pyrotection Specialists Inc. - Renewal,Discovery
3040520-1,800Do000000xDp2IAE,Manual,Capital Metals Inc.,7041342,2021-08-01,2023-07-31,2023 - Capital Metals Inc. - Renewal,Discovery
3044157-0,800Do000000xDp3IAE,Manual,BRC Construction LLC,7041343,2021-09-01,2023-08-31,,
304596-0,800Do000000xDp4IAE,Manual,"Greenvelvet Landscape Contractors, Inc.",7041344,2021-03-01,2023-02-28,"2023-Greenvelvet Landscape Contractors, Inc.- BB Renewal",Closed Won
305228-0,800Do000000xDp6IAE,Manual,"BSN Construction, Inc.",7041346,2021-07-01,2023-06-30,"2023-BSN Construction, Inc.- BB Renewal",Solution/Value
305641-0,800Do000000xDp7IAE,Manual,"Wheaton Associates, Inc.",7041347,2021-10-01,2023-09-30,,
305933-0,800Do000000xDp8IAE,Manual,"Quality Glass Service, Inc.",7041348,2021-07-01,2023-06-30,"2023-Quality Glass Service, Inc.- BB Renewal",Solution/Value
306123-0,800Do000000xDp9IAE,Manual,Besch & Smith Civil Group Inc.,7041349,2021-05-01,2023-04-30,2023-Besch & Smith Civil Group Inc.- BB Renewal,Solution/Value
306373-0,800Do000000xDpBIAU,Manual,Modulex,7041351,2021-10-01,2023-09-30,2023 - Modulex - Renewal,Discovery
307794-0,800Do000000xDpCIAU,Manual,North Branch Electrical Construction Co. Inc.,7041352,2022-09-01,2024-08-31,2024 - North Branch Electrical Construction Co. Inc. - Renewal,Discovery
308307-0,800Do000000xDpDIAU,Manual,"Forbes Asphalt Maintenance, Inc.",7041353,2021-03-01,2023-02-28,"2023-Forbes Asphalt Maintenance, Inc.- BB Renewal",Closed Lost
308885-0,800Do000000xDpEIAU,Manual,"Century Automatic Sprinkler Co., Inc.",7041354,2022-09-01,2024-08-31,"2024 - Century Automatic Sprinkler Co., Inc. - Renewal",Discovery
309341-0,800Do000000xDpHIAU,Manual,PlaySafe Recreational & Aquatic Designs Inc.,7041357,2021-05-01,2023-04-30,2023 - PlaySafe Recreational & Aquatic Designs Inc. - Renewal,Discovery
3097760-0,800Do000000xDpIIAU,Manual,Russell Construction,7041358,2022-02-01,2024-01-31,2024 - Russell Construction - Renewal,Discovery
309939-0,800Do000000xDpJIAU,Auto,"Foothills Environmental, Inc.",7041359,2023-01-01,2024-12-31,"2025 - Foothills Environmental, Inc. - Renewal",Discovery
311526-0,800Do000000xDpMIAU,Manual,U.S. Tennis Court Construction Co.,7041362,2022-03-01,2024-02-29,2024 - U.S. Tennis Court Construction Co. - Renewal,Discovery
311972-0,800Do000000xDpNIAU,Manual,"BenFab, Inc.",7041363,2022-04-01,2024-03-31,"2024 - BenFab, Inc. - Renewal",Discovery
312328-1,800Do000000xDpPIAU,Manual,Point Monitor Corporation,7041365,2022-02-01,2024-01-31,2024 - Point Monitor Corporation - Renewal,Discovery
312728-0,800Do000000xDpQIAU,Manual,"International Building Products, Inc.",7041366,2021-10-01,2023-09-30,"2023 - International Building Products, Inc. - Renewal",Discovery
